# Class	Pfam Accession	Family	Summary
# 
Other Biosynthetic	PF12082		Domain of unknown function (DUF3559)
Other Biosynthetic	PF03288		Poxvirus D5 protein-like
Other Biosynthetic	PF00625		Guanylate kinase
Other Biosynthetic	PF11288		Protein of unknown function (DUF3089)
Other Biosynthetic	PF03429		Major surface protein 1B
Other Biosynthetic	PF11997		Domain of unknown function (DUF3492)
Other Biosynthetic	PF07504		Fungalysin/Thermolysin Propeptide Motif
Other Biosynthetic	PF01161		Phosphatidylethanolamine-binding protein
Other Biosynthetic	PF09588		YqaJ-like viral recombinase domain
Other Biosynthetic	PF08681		Protein of unknown function (DUF1778)
Other Biosynthetic	PF06178		Oligogalacturonate-specific porin protein (KdgM)
Other Biosynthetic	PF01909		Nucleotidyltransferase domain
Other Biosynthetic	PF05102		holin, BlyA family
Other Biosynthetic	PF00246		Zinc carboxypeptidase
Other Biosynthetic	PF12615		F sex factor protein N terminal
Other Biosynthetic	PF03995		Peptidase inhibitor family I36
Other Biosynthetic	PF02906		Iron only hydrogenase large subunit, C-terminal domain
Other Biosynthetic	PF00563		EAL domain
Other Biosynthetic	PF00390		Malic enzyme, N-terminal domain
Other Biosynthetic	PF03264		NapC/NirT cytochrome c family, N-terminal region
Other Biosynthetic	PF09626		Dihaem cytochrome c
Other Biosynthetic	PF05957		Bacterial protein of unknown function (DUF883)
Other Biosynthetic	PF00493		MCM2/3/5 family
Other Biosynthetic	PF10612		Spore coat protein Z
Other Biosynthetic	PF03929		PepSY-associated TM helix
Other Biosynthetic	PF04610		TrbL/VirB6 plasmid conjugal transfer protein
Other Biosynthetic	PF05289		Borrelia hemolysin accessory protein
Other Biosynthetic	PF02373		JmjC domain
Other Biosynthetic	PF05362		Lon protease (S16) C-terminal proteolytic domain
Other Biosynthetic	PF06298		Photosystem II protein Y (PsbY)
Other Biosynthetic	PF06291		Bor protein
Other Biosynthetic	PF07849		Protein of unknown function (DUF1641)
Other Biosynthetic	PF06085		Lipoprotein Rz1 precursor
Other Biosynthetic	PF04027		Domain of unknown function (DUF371)
Other Biosynthetic	PF02983		Alpha-lytic protease prodomain
Other Biosynthetic	PF03949		Malic enzyme, NAD binding domain
Other Biosynthetic	PF09052		Salmonella invasion protein A
Other Biosynthetic	PF05537		Borrelia burgdorferi protein of unknown function (DUF759)
Other Biosynthetic	PF11528		Protein of unknown function (DUF3224)
Other Biosynthetic	PF09140		ATPase MipZ
Other Biosynthetic	PF12365		Protein of unknown function (DUF3649)
Other Biosynthetic	PF11621		C3 binding domain 4 of IgG-bind protein SBI
Other Biosynthetic	PF04326		Divergent AAA domain
Other Biosynthetic	PF06306		Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)
Other Biosynthetic	PF12607		Protein of unknown function (DUF3772)
Other Biosynthetic	PF03143		Elongation factor Tu C-terminal domain
Other Biosynthetic	PF11304		Protein of unknown function (DUF3106)
Other Biosynthetic	PF09492		Pectic acid lyase
Other Biosynthetic	PF09825		Biotin-protein ligase, N terminal
Other Biosynthetic	PF02681		Divergent PAP2 family
Other Biosynthetic	PF10056		Uncharacterized conserved protein (DUF2293)
Other Biosynthetic	PF04193		PQ loop repeat
Other Biosynthetic	PF06912		Protein of unknown function (DUF1275)
Other Biosynthetic	PF11317		Protein of unknown function (DUF3119)
Other Biosynthetic	PF06250		Protein of unknown function (DUF1016)
Other Biosynthetic	PF00504		Chlorophyll A-B binding protein
Other Biosynthetic	PF02261		Aspartate decarboxylase
Other Biosynthetic	PF01293		Phosphoenolpyruvate carboxykinase
Other Biosynthetic	PF05616		Neisseria meningitidis TspB protein
Other Biosynthetic	PF07761		Protein of unknown function (DUF1617)
Other Biosynthetic	PF11925		Protein of unknown function (DUF3443)
Other Biosynthetic	PF05606		Borrelia burgdorferi protein of unknown function (DUF777)
Other Biosynthetic	PF10651		Domain of unknown function (DUF2479)
Other Biosynthetic	PF09350		Domain of unknown function (DUF1992)
Other Biosynthetic	PF11329		Protein of unknown function (DUF3131)
Other Biosynthetic	PF11138		Protein of unknown function (DUF2911)
Other Biosynthetic	PF08892		YqcI/YcgG family
Other Biosynthetic	PF04352		ProQ/FINO family
Other Biosynthetic	PF05628		Borrelia membrane protein P13
Other Biosynthetic	PF10960		Protein of unknown function (DUF2762)
Other Biosynthetic	PF01883		Domain of unknown function DUF59
Other Biosynthetic	PF12602		Fertility inhibition protein N terminal
Other Biosynthetic	PF00224		Pyruvate kinase, barrel domain
Other Biosynthetic	PF02511		Thymidylate synthase complementing protein
Other Biosynthetic	PF00462		Glutaredoxin
Other Biosynthetic	PF11005		Protein of unknown function (DUF2844)
Other Biosynthetic	PF00949		Peptidase S7, Flavivirus NS3 serine protease
Other Biosynthetic	PF07507		WavE lipopolysaccharide synthesis
Other Biosynthetic	PF08808		RES domain
Other Biosynthetic	PF10709		Protein of unknown function (DUF2511)
Other Biosynthetic	PF11136		Protein of unknown function (DUF2889)
Other Biosynthetic	PF09587		Bacterial capsule synthesis protein PGA_cap
Other Biosynthetic	PF02566		OsmC-like protein
Other Biosynthetic	PF11625		Protein of unknown function (DUF3253)
Other Biosynthetic	PF06780		Erp protein C-terminus
Other Biosynthetic	PF06238		Borrelia burgdorferi BBR25 lipoprotein
Other Biosynthetic	PF07336		Protein of unknown function (DUF1470)
Other Biosynthetic	PF11297		Protein of unknown function (DUF3098)
Other Biosynthetic	PF09953		Uncharacterized protein conserved in bacteria (DUF2187)
Other Biosynthetic	PF09314		Domain of unknown function (DUF1972)
Other Biosynthetic	PF00162		Phosphoglycerate kinase
Other Biosynthetic	PF11316		Protein of unknown function (DUF3118)
Other Biosynthetic	PF01916		Deoxyhypusine synthase
Other Biosynthetic	PF00742		Homoserine dehydrogenase
Other Biosynthetic	PF11241		Protein of unknown function (DUF3043)
Other Biosynthetic	PF01126		Heme oxygenase
Other Biosynthetic	PF03640		Secreted repeat of unknown function
Other Biosynthetic	PF10067		Predicted membrane protein (DUF2306)
Other Biosynthetic	PF11790		Glycosyl hydrolase catalytic core
Other Biosynthetic	PF09348		Domain of unknown function (DUF1990)
Other Biosynthetic	PF02391		MoaE protein
Other Biosynthetic	PF05421		Protein of unknown function (DUF751)
Other Biosynthetic	PF07395		Mig-14
Other Biosynthetic	PF12492		Protein of unknown function (DUF3705)
Other Biosynthetic	PF04945		YHS domain
Other Biosynthetic	PF03802		Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
Other Biosynthetic	PF05717		IS66 Orf2 like protein
Other Biosynthetic	PF06848		Disaggregatase related repeat
Other Biosynthetic	PF11975		Family 4 glycosyl hydrolase C-terminal domain
Other Biosynthetic	PF01087		Galactose-1-phosphate uridyl transferase, N-terminal domain
Other Biosynthetic	PF08889		WbqC-like protein family
Other Biosynthetic	PF04299		Putative FMN-binding domain
Other Biosynthetic	PF10966		Protein of unknown function (DUF2768)
Other Biosynthetic	PF03786		D-mannonate dehydratase (UxuA)
Other Biosynthetic	PF11741		Localisation of periplasmic protein complexes
Other Biosynthetic	PF01988		VIT family
Other Biosynthetic	PF05693		Glycogen synthase
Other Biosynthetic	PF07901		Protein of unknown function (DUF1672)
Other Biosynthetic	PF10364		Putative capsular polysaccharide synthesis protein
Other Biosynthetic	PF00482		Bacterial type II secretion system protein F domain
Other Biosynthetic	PF00958		GMP synthase C terminal domain
Other Biosynthetic	PF00877		NlpC/P60 family
Other Biosynthetic	PF02896		PEP-utilising enzyme, TIM barrel domain
Other Biosynthetic	PF11140		Protein of unknown function (DUF2913)
Other Biosynthetic	PF11991		Tryptophan dimethylallyltransferase
Other Biosynthetic	PF02548		Ketopantoate hydroxymethyltransferase
Other Biosynthetic	PF11734		TilS substrate C-terminal domain
Other Biosynthetic	PF02056		Family 4 glycosyl hydrolase
Other Biosynthetic	PF04102		SlyX
Other Biosynthetic	PF02277		Phosphoribosyltransferase
Other Biosynthetic	PF04264		YceI-like domain
Other Biosynthetic	PF12200		Domain of unknown function (DUF3597)
Other Biosynthetic	PF07219		HemY protein N-terminus
Other Biosynthetic	PF02641		Uncharacterized ACR, COG1993
Other Biosynthetic	PF08531		Alpha-L-rhamnosidase N-terminal domain
Other Biosynthetic	PF07158		Dicarboxylate carrier protein MatC N-terminus
Other Biosynthetic	PF03079		ARD/ARD' family
Other Biosynthetic	PF08891		YfcL protein
Other Biosynthetic	PF01139		Uncharacterized protein family UPF0027
Other Biosynthetic	PF00662		NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
Other Biosynthetic	PF07045		Protein of unknown function (DUF1330)
Other Biosynthetic	PF01436		NHL repeat
Other Biosynthetic	PF09731		Mitochondrial inner membrane protein
Other Biosynthetic	PF04972		Putative phospholipid-binding domain
Other Biosynthetic	PF03713		Domain of unknown function (DUF305)
Other Biosynthetic	PF11340		Protein of unknown function (DUF3142)
Other Biosynthetic	PF01270		Glycosyl hydrolases family 8
Other Biosynthetic	PF01887		S-adenosyl-l-methionine hydroxide adenosyltransferase
Other Biosynthetic	PF00871		Acetokinase family
Other Biosynthetic	PF12048		Protein of unknown function (DUF3530)
Other Biosynthetic	PF03357		Snf7
Other Biosynthetic	PF01183		Glycosyl hydrolases family 25
Other Biosynthetic	PF09086		Domain of unknown function (DUF1924)
Other Biosynthetic	PF10999		Protein of unknown function (DUF2839)
Other Biosynthetic	PF00773		RNB domain
Other Biosynthetic	PF02805		Metal binding domain of Ada
Other Biosynthetic	PF09865		Predicted periplasmic protein (DUF2092)
Other Biosynthetic	PF07301		Protein of unknown function (DUF1453)
Other Biosynthetic	PF11944		Protein of unknown function (DUF3461)
Other Biosynthetic	PF06662		D-glucuronyl C5-epimerase C-terminus
Other Biosynthetic	PF11381		Protein of unknown function (DUF3185)
Other Biosynthetic	PF07865		Protein of unknown function (DUF1652)
Other Biosynthetic	PF11028		Protein of unknown function (DUF2723)
Other Biosynthetic	PF07602		Protein of unknown function (DUF1565)
Other Biosynthetic	PF12092		Protein of unknown function (DUF3568)
Other Biosynthetic	PF04250		Protein of unknown function (DUF429)
Other Biosynthetic	PF08480		Disaggregatase related
Other Biosynthetic	PF02317		NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Other Biosynthetic	PF01959		3-dehydroquinate synthase (EC 4.6.1.3)
Other Biosynthetic	PF08000		Protein of unknown function (DUF1696)
Other Biosynthetic	PF11453		Protein of unknown function (DUF2950)
Other Biosynthetic	PF03459		TOBE domain
Other Biosynthetic	PF09834		Predicted membrane protein (DUF2061)
Other Biosynthetic	PF01483		Proprotein convertase P-domain
Other Biosynthetic	PF08786		Domain of unknown function (DUF1795)
Other Biosynthetic	PF00359		Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
Other Biosynthetic	PF06695		Putative small multi-drug export protein
Other Biosynthetic	PF10908		Protein of unknown function (DUF2778)
Other Biosynthetic	PF00762		Ferrochelatase
Other Biosynthetic	PF02256		Iron hydrogenase small subunit
Other Biosynthetic	PF11672		Protein of unknown function (DUF3268)
Other Biosynthetic	PF10590		Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
Other Biosynthetic	PF01592		NifU-like N terminal domain
Other Biosynthetic	PF02001		Protein of unknown function DUF134
Other Biosynthetic	PF09605		Hypothetical bacterial integral membrane protein (Trep_Strep)
Other Biosynthetic	PF07371		Protein of unknown function (DUF1490)
Other Biosynthetic	PF09907		Uncharacterized protein conserved in bacteria (DUF2136)
Other Biosynthetic	PF06157		Protein of unknown function (DUF973)
Other Biosynthetic	PF07611		Protein of unknown function (DUF1574)
Other Biosynthetic	PF03616		Sodium/glutamate symporter
Other Biosynthetic	PF08348		YheO-like PAS domain
Other Biosynthetic	PF10262		Rdx family
Other Biosynthetic	PF04167		Protein of unknown function (DUF402)
Other Biosynthetic	PF00285		Citrate synthase
Other Biosynthetic	PF03067		Chitin binding domain
Other Biosynthetic	PF11903		Protein of unknown function (DUF3423)
Other Biosynthetic	PF11201		Protein of unknown function (DUF2982)
Other Biosynthetic	PF06458		MucBP domain
Other Biosynthetic	PF03649		Uncharacterised protein family (UPF0014)
Other Biosynthetic	PF12281		Protein of unknown function (DUF3620)
Other Biosynthetic	PF09719		Putative redox-active protein (C_GCAxxG_C_C)
Other Biosynthetic	PF01697		Domain of unknown function
Other Biosynthetic	PF11170		Protein of unknown function (DUF2957)
Other Biosynthetic	PF11174		Protein of unknown function (DUF2970)
Other Biosynthetic	PF07596		Protein of unknown function (DUF1559)
Other Biosynthetic	PF10976		Protein of unknown function (DUF2790)
Other Biosynthetic	PF10977		Protein of unknown function (DUF2797)
Other Biosynthetic	PF00925		GTP cyclohydrolase II
Other Biosynthetic	PF01062		Bestrophin
Other Biosynthetic	PF09860		Uncharacterized protein conserved in bacteria (DUF2087)
Other Biosynthetic	PF02861		Clp amino terminal domain
Other Biosynthetic	PF11387		Protein of unknown function (DUF2795)
Other Biosynthetic	PF07869		Protein of unknown function (DUF1656)
Other Biosynthetic	PF11713		Peptidase C80 family
Other Biosynthetic	PF10009		Uncharacterized protein conserved in bacteria (DUF2252)
Other Biosynthetic	PF11856		Protein of unknown function (DUF3376)
Other Biosynthetic	PF02224		Cytidylate kinase
Other Biosynthetic	PF06207		Protein of unknown function (DUF1002)
Other Biosynthetic	PF01024		Colicin pore forming domain
Other Biosynthetic	PF08543		Phosphomethylpyrimidine kinase
Other Biosynthetic	PF11512		Agrobacterium tumefaciens protein Atu4866
Other Biosynthetic	PF04273		Putative phosphatase (DUF442)
Other Biosynthetic	PF11165		Protein of unknown function (DUF2949)
Other Biosynthetic	PF11185		Protein of unknown function (DUF2971)
Other Biosynthetic	PF02955		Prokaryotic glutathione synthetase, ATP-grasp domain
Other Biosynthetic	PF11726		Protein of unknown function (DUF3296)
Other Biosynthetic	PF01747		ATP-sulfurylase
Other Biosynthetic	PF04733		Coatomer epsilon subunit
Other Biosynthetic	PF02210		Laminin G domain
Other Biosynthetic	PF01582		TIR domain
Other Biosynthetic	PF09972		Predicted membrane protein (DUF2207)
Other Biosynthetic	PF03591		AzlC protein
Other Biosynthetic	PF03537		TM1410 hypothetical-related protein
Other Biosynthetic	PF10111		Predicted glycosyltransferase involved in capsule biosynthesis
Other Biosynthetic	PF06575		Protein of unknown function (DUF1132)
Other Biosynthetic	PF10840		Protein of unknown function (DUF2645)
Other Biosynthetic	PF02872		5'-nucleotidase, C-terminal domain
Other Biosynthetic	PF00395		S-layer homology domain
Other Biosynthetic	PF09912		Uncharacterized protein conserved in bacteria (DUF2141)
Other Biosynthetic	PF06368		Methylaspartate mutase E chain (MutE)
Other Biosynthetic	PF12225		Methylene-tetrahydrofolate reductase C terminal
Other Biosynthetic	PF10096		Uncharacterized protein conserved in bacteria (DUF2334)
Other Biosynthetic	PF02735		Ku70/Ku80 beta-barrel domain
Other Biosynthetic	PF08483		IstB-like ATP binding N-terminal
Other Biosynthetic	PF11333		Protein of unknown function (DUF3135)
Other Biosynthetic	PF08893		Domain of unknown function (DUF1839)
Other Biosynthetic	PF10087		Uncharacterized protein conserved in bacteria (DUF2325)
Other Biosynthetic	PF01472		PUA domain
Other Biosynthetic	PF08708		Primase C terminal 1 (PriCT-1)
Other Biosynthetic	PF07589		PEP-CTERM motif
Other Biosynthetic	PF07853		Protein of unknown function (DUF1648)
Other Biosynthetic	PF07446		GumN protein
Other Biosynthetic	PF05192		MutS domain III
Other Biosynthetic	PF06240		Carbon monoxide dehydrogenase subunit G (CoxG)
Other Biosynthetic	PF09695		Bacterial protein of unknown function (YtfJ_HI0045)
Other Biosynthetic	PF11167		Protein of unknown function (DUF2953)
Other Biosynthetic	PF01996		F420-0 Gamma-glutamyl ligase
Other Biosynthetic	PF08933		Domain of unknown function (DUF1864)
Other Biosynthetic	PF02403		Seryl-tRNA synthetase N-terminal domain
Other Biosynthetic	PF10703		Molybdenum cofactor biosynthesis protein F
Other Biosynthetic	PF10706		Aminoglycoside-2''-adenylyltransferase
Other Biosynthetic	PF01301		Glycosyl hydrolases family 35
Other Biosynthetic	PF00549		CoA-ligase
Other Biosynthetic	PF01256		Carbohydrate kinase
Other Biosynthetic	PF07538		Clostridial hydrophobic W
Other Biosynthetic	PF08032		RNA 2'-O ribose methyltransferase substrate binding
Other Biosynthetic	PF07678		A-macroglobulin complement component
Other Biosynthetic	PF06236		Tyrosinase co-factor MelC1
Other Biosynthetic	PF10921		Protein of unknown function (DUF2710)
Other Biosynthetic	PF03572		Peptidase family S41
Other Biosynthetic	PF02754		Cysteine-rich domain
Other Biosynthetic	PF01432		Peptidase family M3
Other Biosynthetic	PF11285		Protein of unknown function (DUF3086)
Other Biosynthetic	PF04151		Bacterial pre-peptidase C-terminal domain
Other Biosynthetic	PF11736		Protein of unknown function (DUF3299)
Other Biosynthetic	PF00686		Starch binding domain
Other Biosynthetic	PF06698		Protein of unknown function (DUF1192)
Other Biosynthetic	PF10904		Protein of unknown function (DUF2694)
Other Biosynthetic	PF10907		Protein of unknown function (DUF2749)
Other Biosynthetic	PF01808		AICARFT/IMPCHase bienzyme
Other Biosynthetic	PF09221		Bacteriocin class IId cyclical uberolysin-like
Other Biosynthetic	PF05262		Borrelia P83/100 protein
Other Biosynthetic	PF03853		YjeF-related protein N-terminus
Other Biosynthetic	PF01174		SNO glutamine amidotransferase family
Other Biosynthetic	PF01751		Toprim domain
Other Biosynthetic	PF04182		B-block binding subunit of TFIIIC
Other Biosynthetic	PF08211		Cytidine and deoxycytidylate deaminase zinc-binding region
Other Biosynthetic	PF01928		CYTH domain
Other Biosynthetic	PF06452		Domain of unknown function (DUF1083)
Other Biosynthetic	PF01910		Domain of unknown function DUF77
Other Biosynthetic	PF05597		Poly(hydroxyalcanoate) granule associated protein (phasin)
Other Biosynthetic	PF10112		5-bromo-4-chloroindolyl phosphate hydrolysis protein
Other Biosynthetic	PF02675		S-adenosylmethionine decarboxylase
Other Biosynthetic	PF02027		RolB/RolC glucosidase family
Other Biosynthetic	PF07836		DmpG-like communication domain
Other Biosynthetic	PF09138		Urm1 (Ubiquitin related modifier)
Other Biosynthetic	PF10088		Uncharacterized protein conserved in bacteria (DUF2326)
Other Biosynthetic	PF12102		Domain of unknown function (DUF3578)
Other Biosynthetic	PF11684		Protein of unknown function (DUF2380)
Other Biosynthetic	PF04548		AIG1 family
Other Biosynthetic	PF07831		Pyrimidine nucleoside phosphorylase C-terminal domain
Other Biosynthetic	PF06056		Putative ATPase subunit of terminase (gpP-like)
Other Biosynthetic	PF01071		Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
Other Biosynthetic	PF11694		Protein of unknown function (DUF3290)
Other Biosynthetic	PF01094		Receptor family ligand binding region
Other Biosynthetic	PF04286		Protein of unknown function (DUF445)
Other Biosynthetic	PF07951		Clostridium neurotoxin, C-terminal receptor binding
Other Biosynthetic	PF05889		Soluble liver antigen/liver pancreas antigen (SLA/LP autoantigen)
Other Biosynthetic	PF00173		Cytochrome b5-like Heme/Steroid binding domain
Other Biosynthetic	PF08218		Citrate lyase ligase C-terminal domain
Other Biosynthetic	PF09580		Sporulation lipoprotein YhcN/YlaJ (Spore_YhcN_YlaJ)
Other Biosynthetic	PF12293		Protein of unknown function (DUF3625)
Other Biosynthetic	PF08470		Nontoxic nonhaemagglutinin C-terminal
Other Biosynthetic	PF11747		Killing trait
Other Biosynthetic	PF02674		Colicin V production protein
Other Biosynthetic	PF01189		NOL1/NOP2/sun family
Other Biosynthetic	PF06249		Ethanolamine utilisation protein EutQ
Other Biosynthetic	PF00941		FAD binding domain in molybdopterin dehydrogenase
Other Biosynthetic	PF10091		Uncharacterized protein conserved in bacteria (DUF2329)
Other Biosynthetic	PF11953		Domain of unknown function (DUF3470)
Other Biosynthetic	PF11380		Protein of unknown function (DUF3184)
Other Biosynthetic	PF00013		KH domain
Other Biosynthetic	PF10633		NPCBM-associated, NEW3 domain of alpha-galactosidase
Other Biosynthetic	PF02568		Thiamine biosynthesis protein (ThiI)
Other Biosynthetic	PF11149		Protein of unknown function (DUF2924)
Other Biosynthetic	PF00153		Mitochondrial carrier protein
Other Biosynthetic	PF01315		Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
Other Biosynthetic	PF09844		Uncharacterized conserved protein (COG2071)
Other Biosynthetic	PF09336		Vps4 C terminal oligomerisation domain
Other Biosynthetic	PF09202		Rio2, N-terminal
Other Biosynthetic	PF09209		Domain of unknown function (DUF1956)
Other Biosynthetic	PF08002		Protein of unknown function (DUF1697)
Other Biosynthetic	PF00365		Phosphofructokinase
Other Biosynthetic	PF10805		Protein of unknown function (DUF2730)
Other Biosynthetic	PF11199		Protein of unknown function (DUF2891)
Other Biosynthetic	PF01967		MoaC family
Other Biosynthetic	PF05277		Protein of unknown function (DUF726)
Other Biosynthetic	PF01790		Prolipoprotein diacylglyceryl transferase
Other Biosynthetic	PF10127		Predicted nucleotidyltransferase
Other Biosynthetic	PF01373		Glycosyl hydrolase family 14
Other Biosynthetic	PF11296		Protein of unknown function (DUF3097)
Other Biosynthetic	PF11298		Protein of unknown function (DUF3099)
Other Biosynthetic	PF03745		Domain of unknown function (DUF309)
Other Biosynthetic	PF11067		Protein of unknown function (DUF2868)
Other Biosynthetic	PF06004		Bacterial protein of unknown function (DUF903)
Other Biosynthetic	PF11665		Protein of unknown function (DUF3265)
Other Biosynthetic	PF01175		Urocanase
Other Biosynthetic	PF09365		Conserved hypothetical protein (DUF2461)
Other Biosynthetic	PF04267		Sarcosine oxidase, delta subunit family
Other Biosynthetic	PF01624		MutS domain I
Other Biosynthetic	PF09118		Domain of unknown function (DUF1929)
Other Biosynthetic	PF04405		Domain of Unknown function (DUF542)
Other Biosynthetic	PF11248		Protein of unknown function (DUF3046)
Other Biosynthetic	PF01713		Smr domain
Other Biosynthetic	PF03505		Clostridium enterotoxin
Other Biosynthetic	PF02013		Cellulose or protein binding domain
Other Biosynthetic	PF09683		Bacteriocin (Lactococcin_972)
Other Biosynthetic	PF08245		Mur ligase middle domain
Other Biosynthetic	PF00071		Ras family
Other Biosynthetic	PF11350		Protein of unknown function (DUF3152)
Other Biosynthetic	PF07041		Protein of unknown function (DUF1327)
Other Biosynthetic	PF10049		Protein of unknown function (DUF2283)
Other Biosynthetic	PF11902		Protein of unknown function (DUF3422)
Other Biosynthetic	PF07226		Protein of unknown function (DUF1422)
Other Biosynthetic	PF12349		Sterol-sensing domain of SREBP cleavage-activation
Other Biosynthetic	PF02838		Glycosyl hydrolase family 20, domain 2
Other Biosynthetic	PF03008		Archaea bacterial proteins of unknown function
Other Biosynthetic	PF06189		5'-nucleotidase
Other Biosynthetic	PF01861		Protein of unknown function DUF43
Other Biosynthetic	PF04914		DltD C-terminal region
Other Biosynthetic	PF11746		Protein of unknown function (DUF3303)
Other Biosynthetic	PF02569		Pantoate-beta-alanine ligase
Other Biosynthetic	PF06519		TolA C-terminal
Other Biosynthetic	PF03960		ArsC family
Other Biosynthetic	PF11160		Protein of unknown function (DUF2945)
Other Biosynthetic	PF11016		Protein of unknown function (DUF2854)
Other Biosynthetic	PF03597		Cytochrome oxidase maturation protein cbb3-type
Other Biosynthetic	PF01382		Avidin family
Other Biosynthetic	PF01059		NADH-ubiquinone oxidoreductase chain 4, amino terminus
Other Biosynthetic	PF08020		Protein of unknown function (DUF1706)
Other Biosynthetic	PF10017		Uncharacterized conserved protein (DUF2260)
Other Biosynthetic	PF09190		DALR domain
Other Biosynthetic	PF10371		Domain of unknown function
Other Biosynthetic	PF04900		Fcf1
Other Biosynthetic	PF03767		HAD superfamily, subfamily IIIB (Acid phosphatase)
Other Biosynthetic	PF02781		Glucose-6-phosphate dehydrogenase, C-terminal domain
Other Biosynthetic	PF11981		Domain of unknown function (DUF3482)
Other Biosynthetic	PF00577		Fimbrial Usher protein
Other Biosynthetic	PF11852		Domain of unknown function (DUF3372)
Other Biosynthetic	PF04794		YdjC-like protein
Other Biosynthetic	PF12087		Protein of unknown function (DUF3564)
Other Biosynthetic	PF09204		Colicin D
Other Biosynthetic	PF09206		Alpha-L-arabinofuranosidase B, catalytic
Other Biosynthetic	PF04444		Catechol dioxygenase N terminus
Other Biosynthetic	PF06930		Protein of unknown function (DUF1282)
Other Biosynthetic	PF10554		Ash protein family
Other Biosynthetic	PF02237		Biotin protein ligase C terminal domain
Other Biosynthetic	PF00960		Neocarzinostatin family
Other Biosynthetic	PF10734		Protein of unknown function (DUF2523)
Other Biosynthetic	PF00267		Gram-negative porin
Other Biosynthetic	PF03773		Predicted permease
Other Biosynthetic	PF01977		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
Other Biosynthetic	PF08867		FRG domain
Other Biosynthetic	PF02684		Lipid-A-disaccharide synthetase
Other Biosynthetic	PF11614		Ubp3 associated protein Bre5
Other Biosynthetic	PF09223		YodA
Other Biosynthetic	PF09008		Head binding
Other Biosynthetic	PF06002		Alpha-2,3-sialyltransferase (CST-I)
Other Biosynthetic	PF09971		Predicted membrane protein (DUF2206)
Other Biosynthetic	PF05595		Domain of unknown function (DUF771)
Other Biosynthetic	PF05449		Protein of unknown function (DUF754)
Other Biosynthetic	PF02474		Nodulation protein A (NodA)
Other Biosynthetic	PF08343		Ribonucleotide reductase N-terminal
Other Biosynthetic	PF08436		1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal
Other Biosynthetic	PF06560		Glucose-6-phosphate isomerase (GPI)
Other Biosynthetic	PF04956		TrbC/VIRB2 family
Other Biosynthetic	PF00479		Glucose-6-phosphate dehydrogenase, NAD binding domain
Other Biosynthetic	PF09920		Uncharacterized protein conserved in archaea (DUF2150)
Other Biosynthetic	PF03819		MazG nucleotide pyrophosphohydrolase domain
Other Biosynthetic	PF08874		Domain of unknown function (DUF1835)
Other Biosynthetic	PF08877		MepB protein
Other Biosynthetic	PF12072		Domain of unknown function (DUF3552)
Other Biosynthetic	PF11998		Protein of unknown function (DUF3493)
Other Biosynthetic	PF11237		Protein of unknown function (DUF3038)
Other Biosynthetic	PF03068		Protein-arginine deiminase (PAD)
Other Biosynthetic	PF03483		B3/4 domain
Other Biosynthetic	PF00874		PRD domain
Other Biosynthetic	PF04020		Membrane protein of unknown function
Other Biosynthetic	PF03160		Calx-beta domain
Other Biosynthetic	PF03016		Exostosin family
Other Biosynthetic	PF03015		Male sterility protein
Other Biosynthetic	PF06280		Fn3-like domain (DUF1034)
Other Biosynthetic	PF02630		SCO1/SenC
Other Biosynthetic	PF02636		Uncharacterized ACR, COG1565
Other Biosynthetic	PF03237		Terminase-like family
Other Biosynthetic	PF12050		Protein of unknown function (DUF3532)
Other Biosynthetic	PF05188		MutS domain II
Other Biosynthetic	PF10752		Protein of unknown function (DUF2533)
Other Biosynthetic	PF05190		MutS family domain IV
Other Biosynthetic	PF08308		PEGA domain
Other Biosynthetic	PF10974		Protein of unknown function (DUF2804)
Other Biosynthetic	PF03747		ADP-ribosylglycohydrolase
Other Biosynthetic	PF03969		AFG1-like ATPase
Other Biosynthetic	PF04012		PspA/IM30 family
Other Biosynthetic	PF05138		Phenylacetic acid catabolic protein
Other Biosynthetic	PF09130		Domain of unknown function (DUF1932)
Other Biosynthetic	PF11838		Domain of unknown function (DUF3358)
Other Biosynthetic	PF03203		MerC mercury resistance protein
Other Biosynthetic	PF01055		Glycosyl hydrolases family 31
Other Biosynthetic	PF04337		Protein of unknown function, DUF480
Other Biosynthetic	PF00302		Chloramphenicol acetyltransferase
Other Biosynthetic	PF04461		Protein of unknown function (DUF520)
Other Biosynthetic	PF01833		IPT/TIG domain
Other Biosynthetic	PF03450		CO dehydrogenase flavoprotein C-terminal domain
Other Biosynthetic	PF02867		Ribonucleotide reductase, barrel domain
Other Biosynthetic	PF09323		Domain of unknown function (DUF1980)
Other Biosynthetic	PF04255		Protein of unknown function (DUF433)
Other Biosynthetic	PF04472		Protein of unknown function (DUF552)
